area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
3900003,1.2746976401179941,"Switchboard operators, including answering service",,172849.0,135600.0
5000001,1.0476779897626802,"Postal service mail sorters, processors, and processing machine operators",,112573.0,107450.0
22500,0.8691589903098457,Management occupations,,72653.0,83590.0
5400001,0.6293969516235918,"Switchboard operators, including answering service",,47488.0,75450.0
18880,0.4402378031518354,Management occupations,,46652.0,105970.0
2200003,0.799042116466474,"Switchboard operators, including answering service",,52553.0,65770.0
11540,1.2433876221498372,Management occupations,,152688.0,122800.0
2200002,0.7808892852592687,"Switchboard operators, including answering service",,61292.0,78490.0
5400002,0.9188093599449415,"Switchboard operators, including answering service",,133503.0,145300.0
49420,1.7367332549941246,Management occupations,,147796.0,85100.0
22660,0.5746779683641461,Management occupations,,86104.0,149830.0
11260,0.6864982973893303,Management occupations,,120961.0,176200.0
10580,0.9065987209328603,Management occupations,,401179.0,442510.0
13020,0.6883386121508782,Management occupations,,23906.0,34730.0
28100,0.6571463237078379,Management occupations,,27081.0,41210.0
33740,0.81732221932795,Management occupations,,62754.0,76780.0
36100,0.8054828150572831,Management occupations,,78744.0,97760.0
78254,0.6282518926359256,Management occupations,,36514.0,58120.0
11180,0.8184023804074159,Management occupations,,35756.0,43690.0
48060,0.5456553398058253,Management occupations,,22481.0,41200.0
24300,0.5126916524701874,Management occupations,,30095.0,58700.0
19780,0.979653251124247,Management occupations,,346376.0,353570.0
23844,1.1473664437598619,Management occupations,,305406.0,266180.0
37620,0.5159563409563409,Management occupations,,19854.0,38480.0
19300,0.5660509736540664,Management occupations,,39533.0,69840.0
2600003,1.214482470784641,"Postal service mail sorters, processors, and processing machine operators",,145495.0,119800.0
32780,0.8325991725480653,Management occupations,,68423.0,82180.0
37964,0.7822397897881037,Management occupations,,696608.0,890530.0
2600002,1.0044492382364838,Sewing machine operators,,74500.0,74170.0
47894,0.6465501527689115,Management occupations,,1610356.0,2490690.0
21660,0.9528200905722519,Management occupations,,138864.0,145740.0
12980,0.9014716703458425,Management occupations,,49004.0,54360.0
16700,0.8755912239480028,Management occupations,,286940.0,327710.0
21060,0.9060338345864661,Management occupations,,48201.0,53200.0
17980,0.8187215833110457,Management occupations,,91836.0,112170.0
47940,1.0429540827866999,Management occupations,,92218.0,88420.0
17860,0.6111814115850333,Management occupations,,56027.0,91670.0
78100,1.0943978909707184,Management occupations,,348708.0,318630.0
0500001,1.3365564620008588,"Switchboard operators, including answering service",,155642.0,116450.0
13900,0.6072803122056251,Management occupations,,45127.0,74310.0
46540,0.932196589769308,Management occupations,,111528.0,119640.0
33460,1.0655521528595733,Management occupations,,2035471.0,1910250.0
22900,1.358183968701665,Management occupations,,149278.0,109910.0
0400001,0.7229840921557872,"Switchboard operators, including answering service",,65900.0,91150.0
23540,0.5448845401174168,Management occupations,,69609.0,127750.0
41900,3.1035378662244333,Management occupations,,56143.0,18090.0
76524,0.6400695762175838,Management occupations,,60717.0,94860.0
47220,0.9406918449197861,Management occupations,,56291.0,59840.0
42220,1.034562354763749,Management occupations,,200343.0,193650.0
29620,0.9043886080870918,Management occupations,,186087.0,205760.0
47380,0.9350588443500575,Management occupations,,105671.0,113010.0
20524,0.6028836473464692,Management occupations,,83837.0,139060.0
22540,1.0544395604395604,Management occupations,,47977.0,45500.0
19180,0.7926396917148362,Management occupations,,20569.0,25950.0
2300002,0.9903499580888516,"Switchboard operators, including answering service",,189038.0,190880.0
10380,0.9215349369988545,Management occupations,,40225.0,43650.0
40980,0.8077111525898274,Management occupations,,69237.0,85720.0
1700002,0.9997524182404421,"Switchboard operators, including answering service",,173637.0,173680.0
1700001,1.300163338035489,"Switchboard operators, including answering service",,175119.0,134690.0
10420,1.276669517932425,Management occupations,,417905.0,327340.0
1700004,0.953350259410531,Sewing machine operators,,86364.0,90590.0
39140,0.609836342162983,Management occupations,,36145.0,59270.0
42644,0.9017273179360313,Management occupations,,1432475.0,1588590.0
28660,0.6743228444184858,Management occupations,,92362.0,136970.0
73604,0.854060718138388,Management occupations,,55420.0,64890.0
39380,0.5832259188294722,Management occupations,,33483.0,57410.0
28140,1.0591373526310746,Management occupations,,1104998.0,1043300.0
40060,0.8534140003756809,Management occupations,,545195.0,638840.0
22180,0.6287268683980621,Management occupations,,79163.0,125910.0
27500,1.0508715101033472,Management occupations,,68128.0,64830.0
2000002,0.9183289299867899,"Switchboard operators, including answering service",,55614.0,60560.0
32580,0.6134035481158143,Management occupations,,153173.0,249710.0
2200001,0.4730277185501066,Postal service mail carriers,,4437.0,9380.0
48140,1.396622107230128,Management occupations,,97163.0,69570.0
2200004,0.7680713931581556,"Switchboard operators, including answering service",,46476.0,60510.0
39740,1.2569284467713786,Management occupations,,216066.0,171900.0
39660,0.857639314145744,Management occupations,,56021.0,65320.0
43300,1.0196903166165934,Management occupations,,44122.0,43270.0
45060,0.9083454858809492,Management occupations,,274066.0,301720.0
41420,0.9150336155378486,Management occupations,,146991.0,160640.0
25620,0.7519662447257384,Management occupations,,44554.0,59250.0
32900,1.8551945080091534,Management occupations,,121608.0,65550.0
16740,1.1506439136165119,Management occupations,,1335748.0,1160870.0
18700,0.6952626784087458,Management occupations,,22895.0,32930.0
77200,1.1547561342367365,Management occupations,,652749.0,565270.0
12540,2.7072604230429165,Management occupations,,796097.0,294060.0
25060,0.9695268644747393,Management occupations,,145080.0,149640.0
47460,0.6867121637896427,Management occupations,,17106.0,24910.0
16580,0.81725017862611,Management occupations,,80066.0,97970.0
12940,0.8519571695540179,Management occupations,,337358.0,395980.0
16620,0.7794621671500132,Management occupations,,88695.0,113790.0
17820,0.6361565333729746,Management occupations,,171177.0,269080.0
29404,0.9823187320604019,Management occupations,,393566.0,400650.0
45940,0.7789643726488161,Management occupations,,176007.0,225950.0
