MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
34900,1860.0,3810.0,4210.0,4110.0,1030.0,660.0,2090.0,4180.0,2770.0,3920.0,510.0,8110.0,490.0,1160.0,2040.0,330.0,4250.0,460.0,9100.0,3510.0,9320.0,2850.0
22500,3540.0,4690.0,6910.0,3420.0,1550.0,380.0,4370.0,7760.0,150.0,7030.0,1100.0,9180.0,1370.0,1750.0,2000.0,430.0,2610.0,360.0,12140.0,2740.0,7360.0,2740.0
5400001,2830.0,5710.0,3450.0,2610.0,1280.0,460.0,4120.0,5910.0,450.0,5410.0,380.0,8370.0,770.0,1790.0,3280.0,290.0,2820.0,370.0,11540.0,4950.0,7250.0,1410.0
18880,2010.0,5410.0,2630.0,3280.0,1000.0,450.0,6040.0,5190.0,40.0,4650.0,3070.0,14970.0,3510.0,2380.0,2690.0,490.0,3990.0,1170.0,15190.0,4710.0,16480.0,6610.0
11540,2630.0,6400.0,16480.0,5570.0,2310.0,490.0,5130.0,5370.0,160.0,8820.0,2680.0,14970.0,2540.0,1700.0,3290.0,410.0,3070.0,1340.0,16970.0,6130.0,10420.0,5920.0
2200002,3130.0,6080.0,4370.0,3270.0,1170.0,300.0,4310.0,5680.0,1110.0,5460.0,1330.0,7710.0,680.0,3290.0,3150.0,290.0,3310.0,310.0,11240.0,2790.0,7040.0,2470.0
5400002,5110.0,7770.0,10400.0,5510.0,2400.0,970.0,8720.0,10950.0,580.0,13850.0,1540.0,14100.0,1940.0,2730.0,4350.0,770.0,4090.0,1000.0,21440.0,10640.0,12810.0,3590.0
49420,2440.0,7220.0,7400.0,2790.0,1660.0,600.0,3860.0,4560.0,5230.0,7520.0,750.0,8310.0,530.0,1700.0,2980.0,470.0,2560.0,630.0,11360.0,3150.0,7160.0,2210.0
22660,3650.0,10420.0,6990.0,5690.0,1910.0,2880.0,5940.0,9120.0,300.0,6520.0,5050.0,17700.0,4350.0,2720.0,4670.0,550.0,4980.0,2060.0,21370.0,7880.0,17160.0,7930.0
11260,4710.0,9280.0,3590.0,9820.0,3990.0,2590.0,7880.0,10010.0,100.0,13220.0,3370.0,16320.0,5070.0,3990.0,8400.0,1500.0,5710.0,2110.0,29310.0,8960.0,17060.0,9190.0
10580,13550.0,35020.0,17270.0,23040.0,9910.0,6710.0,16080.0,28410.0,230.0,23090.0,15510.0,39430.0,10790.0,9490.0,13990.0,5360.0,15270.0,5350.0,75920.0,16570.0,35530.0,26030.0
13020,1860.0,1770.0,2780.0,1300.0,670.0,160.0,1800.0,2520.0,60.0,2090.0,**,4140.0,300.0,500.0,900.0,150.0,930.0,310.0,4870.0,920.0,4310.0,1060.0
28100,1990.0,2870.0,3520.0,2310.0,910.0,260.0,2090.0,3990.0,170.0,3260.0,360.0,4110.0,350.0,1250.0,770.0,110.0,920.0,370.0,5810.0,1030.0,3670.0,1100.0
33740,3300.0,4650.0,4220.0,2880.0,1350.0,160.0,3810.0,5880.0,230.0,6310.0,1000.0,8600.0,1020.0,1380.0,3510.0,570.0,2610.0,520.0,11910.0,2680.0,7230.0,2980.0
36100,3140.0,**,6250.0,2230.0,1010.0,230.0,4040.0,7140.0,610.0,6140.0,640.0,13340.0,1200.0,3020.0,2940.0,570.0,3580.0,530.0,16700.0,4760.0,10350.0,3030.0
78254,1420.0,3950.0,3360.0,3470.0,1940.0,350.0,2010.0,2310.0,90.0,6190.0,780.0,6250.0,1220.0,1450.0,1940.0,250.0,1680.0,420.0,9210.0,2610.0,5180.0,2040.0
11180,1030.0,3970.0,2520.0,2790.0,460.0,1520.0,1910.0,2120.0,90.0,1970.0,1440.0,3860.0,910.0,530.0,1410.0,170.0,1520.0,670.0,5410.0,1980.0,4670.0,2750.0
48060,1400.0,3750.0,1390.0,1660.0,960.0,260.0,2120.0,2960.0,**,2320.0,530.0,5340.0,440.0,1350.0,910.0,220.0,1500.0,350.0,6140.0,1740.0,4370.0,1450.0
