MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
34900,42780.0,28956.0,-13051.0,22605.0,10815.0,4884.0,13376.0,68552.0,-16343.000000000002,18816.0,6681.0,40550.0,1323.0,5220.0,26928.0,1682.9999999999998,26350.0,1885.9999999999998,18200.0,35451.0,60580.0,23940.0
22500,81420.0,35644.0,-21421.0,18810.0,16275.0,2812.0,27968.0,127263.99999999999,-885.0,33744.0,14410.0,45900.0,3699.0000000000005,7875.0,26400.0,2193.0,16182.0,1475.9999999999998,24280.0,27674.0,47840.0,23016.0
5400001,65090.0,43396.0,-10695.0,14355.0,13440.0,3404.0,26368.0,96923.99999999999,-2655.0,25968.0,4978.0,41850.0,2079.0,8055.0,43296.0,1479.0,17484.0,1516.9999999999998,23080.0,49995.0,47125.0,11844.0
18880,46230.0,41116.0,-8153.0,18040.0,10500.0,3330.0,38656.0,85115.99999999999,-236.0,22320.0,40217.0,74850.0,9477.0,10710.0,35508.0,2499.0,24738.0,4797.0,30380.0,47571.0,107120.0,55524.0
11540,60490.0,48640.0,-51088.0,30635.0,24255.0,3626.0,32832.0,88067.99999999999,-944.0,42336.0,35108.0,74850.0,6858.0,7650.0,43428.0,2091.0,19034.0,5493.999999999999,33940.0,61913.0,67730.0,49728.0
2200002,71990.0,46208.0,-13547.0,17985.0,12285.0,2220.0,27584.0,93151.99999999999,-6549.0,26208.0,17423.0,38550.0,1836.0000000000002,14805.0,41580.0,1479.0,20522.0,1271.0,22480.0,28179.0,45760.0,20748.0
5400002,117530.0,59052.0,-32240.0,30305.0,25200.0,7178.0,55808.0,179579.99999999997,-3422.0,66480.0,20174.0,70500.0,5238.0,12285.0,57420.0,3926.9999999999995,25358.0,4100.0,42880.0,107464.0,83265.0,30156.0
49420,56120.0,54872.0,-22940.0,15345.0,17430.0,4440.0,24704.0,74784.0,-30857.000000000004,36096.0,9825.0,41550.0,1431.0,7650.0,39336.0,2397.0,15872.0,2583.0,22720.0,31815.0,46540.0,18564.0
22660,83950.0,79192.0,-21669.0,31295.0,20055.0,21312.0,38016.0,149568.0,-1770.0,31296.0,66155.0,88500.0,11745.0,12240.0,61644.0,2805.0,30876.0,8446.0,42740.0,79588.0,111540.0,66612.0
11260,108330.0,70528.0,-11129.0,54010.0,41895.0,19166.0,50432.0,164164.0,-590.0,63456.0,44147.0,81600.0,13689.0,17955.0,110880.0,7649.999999999999,35402.0,8651.0,58620.0,90496.0,110890.0,77196.0
